Identfier,1a_grit_localtravel,1b_grit_localtravel,2a_grit_errands,2b_grit_errands,3a_grit_publicspeaking,3b_grit_publicspeaking,4a_grit_discussion,4b_grit_discussion,5a_grit_persevered,5b_grit_persevered,Randomizer_PartB,6a_tnt_extraleadership,6b_tnt_extraleadership,7a_tnt_newskill,7b_tnt_newskill,8a_tnt_helpingothers,8b_tnt_helpingothers,9a_tnt_risktaking,9b_tnt_risktaking,10a_tnt_project,10b_tnt_project,11a_sa_feedback,11b_sa_feedbac,12a_sa_helpseeking,12b_sa_helpseeking,13a_sa_values,13b_sa_values,14a_sa_emotions,14b_sa_emotions,15a_sa_influence,15b_sa_influence,16a_ind_doingthingsalone,16b_sa_doingthingsalone,17a_ind_againstnorm,17b_ind_againstnorm,18a_ind_reflection,18b_ind_reflection,19a_ind_questioning,19b_ind_questioning,20a_ind_informeddecision,20b_ind_informeddecision
11,(d) ਨਹੀਂ  / no,"(c) ਮੈਂ ਕਰਨਾ ਚਾਹੁੰਦਾ/ਚਾਹੁੰਦੀ ਸੀ, ਪਰ ਮੌਕਾ ਨਹੀਂ ਸੀ / Wanted to, but did not have the opportunity","(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,(d) ਨਹੀਂ / no,"(c) ਮੈਂ ਕਰਨਾ ਚਾਹੁੰਦਾ/ਚਾਹੁੰਦੀ ਸੀ, ਪਰ ਮੌਕਾ ਨਹੀਂ ਸੀ / Wanted to, but did not have the opportunity",4,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,(a) ਹਾਂ / yes,,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",
12,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,(d) ਨਹੀਂ / no,"(c) ਮੈਂ ਕਰਨਾ ਚਾਹੁੰਦਾ/ਚਾਹੁੰਦੀ ਸੀ, ਪਰ ਮੌਕਾ ਨਹੀਂ ਸੀ / Wanted to, but did not have the opportunity","(b) ਹਾਂ,ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,1,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,(d) ਨਹੀਂ / no,"(c) ਮੈਂ ਕਰਨਾ ਚਾਹੁੰਦਾ/ਚਾਹੁੰਦੀ ਸੀ, ਪਰ ਮੌਕਾ ਨਹੀਂ ਸੀ / Wanted to, but did not have the opportunity","(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,(b) ਨਹੀਂ  / no,(d) ਆਗਿਆ ਨਹੀਂ ਸੀ (ਪਰਿਵਾਰ / ਦੇਖਭਾਲ ਕਰਨ ਵਾਲੇ / ਅਧਿਆਪਕ ਦੁਆਰਾ) / Was not allowed (by family / caregiver / teacher),"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,(d) ਨਹੀਂ / no,(a) ਲੋੜ ਨਹੀਂ ਸੀ / Did not need to
13,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,(d) ਨਹੀਂ / no,(a) ਲੋੜ ਨਹੀਂ ਸੀ / Did not need to,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,4,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,(a) ਹਾਂ / yes,,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,(d) ਨਹੀਂ / no,(a) ਲੋੜ ਨਹੀਂ ਸੀ / Did not need to,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",
14,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,3,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,(d) ਨਹੀਂ / no,"(c) ਮੈਂ ਕਰਨਾ ਚਾਹੁੰਦਾ/ਚਾਹੁੰਦੀ ਸੀ, ਪਰ ਮੌਕਾ ਨਹੀਂ ਸੀ / Wanted to, but did not have the opportunity","(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,(b) ਨਹੀਂ  / no,"(c) ਮੈਂ ਕਰਨਾ ਚਾਹੁੰਦਾ/ਚਾਹੁੰਦੀ ਸੀ, ਪਰ ਮੌਕਾ ਨਹੀਂ ਸੀ / Wanted to, but did not have the opportunity","(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,(d) ਨਹੀਂ / no,"(c) ਮੈਂ ਕਰਨਾ ਚਾਹੁੰਦਾ/ਚਾਹੁੰਦੀ ਸੀ, ਪਰ ਮੌਕਾ ਨਹੀਂ ਸੀ / Wanted to, but did not have the opportunity","(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,(d) ਨਹੀਂ / no,"(c) ਮੈਂ ਕਰਨਾ ਚਾਹੁੰਦਾ/ਚਾਹੁੰਦੀ ਸੀ, ਪਰ ਮੌਕਾ ਨਹੀਂ ਸੀ / Wanted to, but did not have the opportunity",(d) ਨਹੀਂ / no,"(c) ਮੈਂ ਕਰਨਾ ਚਾਹੁੰਦਾ/ਚਾਹੁੰਦੀ ਸੀ, ਪਰ ਮੌਕਾ ਨਹੀਂ ਸੀ / Wanted to, but did not have the opportunity","(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",
15,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(b) ਹਾਂ,ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(b) ਹਾਂ,ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,1,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,(a) ਹਾਂ / yes,,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",
16,"(b) ਹਾਂ, ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(b) ਹਾਂ,ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(b) ਹਾਂ,ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(b) ਹਾਂ,ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(b) ਹਾਂ,ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,4,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,(b) ਨਹੀਂ  / no,"(c) ਮੈਂ ਕਰਨਾ ਚਾਹੁੰਦਾ/ਚਾਹੁੰਦੀ ਸੀ, ਪਰ ਮੌਕਾ ਨਹੀਂ ਸੀ / Wanted to, but did not have the opportunity",(d) ਨਹੀਂ / no,(a) ਲੋੜ ਨਹੀਂ ਸੀ / Did not need to,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,(d) ਨਹੀਂ / no,(b) ਮੈਂ ਨਹੀਂ ਚਾਹੁੰਦਾ ਸੀ / Did not want to,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",
17,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(b) ਹਾਂ,ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,2,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,(a) ਹਾਂ / yes,,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,(d) ਨਹੀਂ / no,(d) ਆਗਿਆ ਨਹੀਂ ਸੀ (ਪਰਿਵਾਰ / ਦੇਖਭਾਲ ਕਰਨ ਵਾਲੇ / ਅਧਿਆਪਕ ਦੁਆਰਾ) / Was not allowed (by family / caregiver / teacher),"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",
18,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,(d) ਨਹੀਂ / no,"(c) ਮੈਂ ਕਰਨਾ ਚਾਹੁੰਦਾ/ਚਾਹੁੰਦੀ ਸੀ, ਪਰ ਮੌਕਾ ਨਹੀਂ ਸੀ / Wanted to, but did not have the opportunity",(d) ਨਹੀਂ / no,(a) ਲੋੜ ਨਹੀਂ ਸੀ / Did not need to,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,3,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,(b) ਨਹੀਂ  / no,"(c) ਮੈਂ ਕਰਨਾ ਚਾਹੁੰਦਾ/ਚਾਹੁੰਦੀ ਸੀ, ਪਰ ਮੌਕਾ ਨਹੀਂ ਸੀ / Wanted to, but did not have the opportunity","(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,(d) ਨਹੀਂ / no,"(c) ਮੈਂ ਕਰਨਾ ਚਾਹੁੰਦਾ/ਚਾਹੁੰਦੀ ਸੀ, ਪਰ ਮੌਕਾ ਨਹੀਂ ਸੀ / Wanted to, but did not have the opportunity","(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",
19,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(b) ਹਾਂ,ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,(d) ਨਹੀਂ / no,(d) ਆਗਿਆ ਨਹੀਂ ਸੀ (ਪਰਿਵਾਰ / ਦੇਖਭਾਲ ਕਰਨ ਵਾਲੇ / ਅਧਿਆਪਕ ਦੁਆਰਾ) / Was not allowed (by family / caregiver / teacher),"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,2,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,(b) ਨਹੀਂ  / no,"(c) ਮੈਂ ਕਰਨਾ ਚਾਹੁੰਦਾ/ਚਾਹੁੰਦੀ ਸੀ, ਪਰ ਮੌਕਾ ਨਹੀਂ ਸੀ / Wanted to, but did not have the opportunity","(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",
20,"(b) ਹਾਂ, ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,(d) ਨਹੀਂ / no,(a) ਲੋੜ ਨਹੀਂ ਸੀ / Did not need to,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(b) ਹਾਂ,ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,4,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,(d) ਨਹੀਂ / no,(a) ਲੋੜ ਨਹੀਂ ਸੀ / Did not need to,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,(b) ਨਹੀਂ  / no,"(c) ਮੈਂ ਕਰਨਾ ਚਾਹੁੰਦਾ/ਚਾਹੁੰਦੀ ਸੀ, ਪਰ ਮੌਕਾ ਨਹੀਂ ਸੀ / Wanted to, but did not have the opportunity",(d) ਨਹੀਂ / no,"(c) ਮੈਂ ਕਰਨਾ ਚਾਹੁੰਦਾ/ਚਾਹੁੰਦੀ ਸੀ, ਪਰ ਮੌਕਾ ਨਹੀਂ ਸੀ / Wanted to, but did not have the opportunity",(d) ਨਹੀਂ / no,(a) ਲੋੜ ਨਹੀਂ ਸੀ / Did not need to,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,(d) ਨਹੀਂ / no,(a) ਲੋੜ ਨਹੀਂ ਸੀ / Did not need to,(d) ਨਹੀਂ / no,(a) ਲੋੜ ਨਹੀਂ ਸੀ / Did not need to,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",
21,(d) ਨਹੀਂ  / no,(d) ਆਗਿਆ ਨਹੀਂ ਸੀ (ਪਰਿਵਾਰ / ਦੇਖਭਾਲ ਕਰਨ ਵਾਲੇ / ਅਧਿਆਪਕ ਦੁਆਰਾ) / Was not allowed (by family / caregiver / teacher),(d) ਨਹੀਂ / no,(d) ਆਗਿਆ ਨਹੀਂ ਸੀ (ਪਰਿਵਾਰ / ਦੇਖਭਾਲ ਕਰਨ ਵਾਲੇ / ਅਧਿਆਪਕ ਦੁਆਰਾ) / Was not allowed (by family / caregiver / teacher),"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,4,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,(d) ਨਹੀਂ / no,(a) ਲੋੜ ਨਹੀਂ ਸੀ / Did not need to,(b) ਨਹੀਂ  / no,(d) ਆਗਿਆ ਨਹੀਂ ਸੀ (ਪਰਿਵਾਰ / ਦੇਖਭਾਲ ਕਰਨ ਵਾਲੇ / ਅਧਿਆਪਕ ਦੁਆਰਾ) / Was not allowed (by family / caregiver / teacher),(d) ਨਹੀਂ / no,"(c) ਮੈਂ ਕਰਨਾ ਚਾਹੁੰਦਾ/ਚਾਹੁੰਦੀ ਸੀ, ਪਰ ਮੌਕਾ ਨਹੀਂ ਸੀ / Wanted to, but did not have the opportunity","(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,(d) ਨਹੀਂ / no,(b) ਮੈਂ ਨਹੀਂ ਚਾਹੁੰਦਾ ਸੀ / Did not want to,(d) ਨਹੀਂ / no,(b) ਮੈਂ ਨਹੀਂ ਚਾਹੁੰਦਾ ਸੀ / Did not want to,(d) ਨਹੀਂ / no,(b) ਮੈਂ ਨਹੀਂ ਚਾਹੁੰਦਾ ਸੀ / Did not want to,(d) ਨਹੀਂ / no,(d) ਆਗਿਆ ਨਹੀਂ ਸੀ (ਪਰਿਵਾਰ / ਦੇਖਭਾਲ ਕਰਨ ਵਾਲੇ / ਅਧਿਆਪਕ ਦੁਆਰਾ) / Was not allowed (by family / caregiver / teacher),"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,(d) ਨਹੀਂ / no,(a) ਲੋੜ ਨਹੀਂ ਸੀ / Did not need to,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",
22,(d) ਨਹੀਂ  / no,(d) ਆਗਿਆ ਨਹੀਂ ਸੀ (ਪਰਿਵਾਰ / ਦੇਖਭਾਲ ਕਰਨ ਵਾਲੇ / ਅਧਿਆਪਕ ਦੁਆਰਾ) / Was not allowed (by family / caregiver / teacher),"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(b) ਹਾਂ,ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,1,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,(a) ਹਾਂ / yes,,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(b) ਹਾਂ, ਕਦੀ ਕਦੀ / yes, sometimes",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",
23,(d) ਨਹੀਂ  / no,(b) ਮੈਂ ਨਹੀਂ ਚਾਹੁੰਦਾ ਸੀ / Did not want to,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,(d) ਨਹੀਂ / no,(b) ਮੈਂ ਨਹੀਂ ਚਾਹੁੰਦਾ ਸੀ / Did not want to,(d) ਨਹੀਂ / no,(b) ਮੈਂ ਨਹੀਂ ਚਾਹੁੰਦਾ ਸੀ / Did not want to,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,3,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,(b) ਨਹੀਂ  / no,(b) ਮੈਂ ਨਹੀਂ ਚਾਹੁੰਦਾ ਸੀ / Did not want to,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(a) ਹਾਂ, ਕਈ ਵਾਰ / yes, many times",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,(d) ਨਹੀਂ / no,(b) ਮੈਂ ਨਹੀਂ ਚਾਹੁੰਦਾ ਸੀ / Did not want to,"(c) ਹਾਂ, ਇੱਕ ਜਾਂ ਦੋ ਵਾਰ / yes, once or twice",,(d) ਨਹੀਂ / no,(a) ਲੋੜ ਨਹੀਂ ਸੀ / Did not need to
