Identifier,Gender,1a_grit_localtravel,1b_grit_localtravel,2a_grit_errands,2b_grit_errands,3a_grit_publicspeaking,3b_grit_publicspeaking,4a_grit_discussion,4b_grit_discussion,5a_grit_persevered,5b_grit_persevered,6a_tnt_extraleadership,6b_tnt_extraleadership,7a_tnt_newskill,7b_tnt_newskill,8a_tnt_helpingothers,8b_tnt_helpingothers,9a_tnt_risktaking,9b_tnt_risktaking,10a_tnt_project,10a_tnt_project_example,10b_tnt_project,11a_sa_feedback,11b_sa_feedback,12a_sa_helpseeking,12b_sa_helpseeking,13a_sa_values,13b_sa_values,14a_sa_emotions,14b_sa_emotions,15a_sa_influence,15b_sa_influence,16a_ind_doingthingsalone,16b_sa_doingthingsalone,17a_ind_againstnorm,17b_ind_againstnorm,18a_ind_reflection,18b_ind_reflection,19a_ind_questioning,19b_ind_questioning,20a_ind_informeddecision,20b_ind_informeddecision
3489,Male,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
3490,Male,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",
3491,Male,(d)no,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(b)Did not want to,"(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,(b)no,,(a)Did not need to,(d) no,(a)Did not need to,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",
3492,Male,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",
3493,Female,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,(d) no,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",
3494,Male,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(b)Did not want to,(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,(b)no,,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",
3495,Female,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(a) yes,Selling of mix vegetables with packing,,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",
3496,Female,(d)no,(b)Did not want to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",,(d) no,(a)Did not need to,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(c)yes, once or twice",,(b)no,,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",
3497,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",
3498,Female,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,(b)no,,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",
3499,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,(a) yes,7973352643,,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",
3500,Male,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(b)no,,(a)Did not need to,"(a)yes, many times",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",
3501,Female,"(c)yes, once or twice",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(b)Did not want to,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(a)yes, many times",,,,,,,,,
3502,Male,"(a)yes, many times",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,(a) yes,Nursery to start karna chahta hun,,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",
3503,Male,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(a) yes,Mobile enterprise,,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",
3504,Male,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(a)Did not need to,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(a)Did not need to
3505,Male,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,(b)no,,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",
3506,Female,(d)no,(a)Did not need to,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(c)yes, once or twice",,"(c)yes, once or twice",
3507,Male,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(c)yes, once or twice",,"(c)yes, once or twice",,(d) no,(a)Did not need to,(b)no,,(a)Did not need to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(a)Did not need to,"(c)yes, once or twice",,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",
3508,Male,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(a) yes,Coloth sales,,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",
3509,Female,(d)no,(b)Did not want to,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(b)yes, sometimes",
3510,Male,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(b)Did not want to,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,(d) no,(b)Did not want to,"(a)yes, many times",
3511,Female,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",
3512,Male,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(b)Did not want to,(b)no,,(b)Did not want to,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,(d)Was not allowed (by family / caregiver / teacher),"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(d)Was not allowed (by family / caregiver / teacher)
3513,Female,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,(a) yes,Mai UN se Sparro bnaya hai,,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",
3514,Female,"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(a) yes,Help to poor,,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",
3515,Male,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,(d) no,(b)Did not want to
3516,Female,(d)no,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",
3517,Female,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(b)yes, sometimes",
3518,Male,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",
3519,Female,(d)no,(a)Did not need to,"(c)yes, once or twice",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(a)Did not need to,(d) no,(b)Did not want to,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",
3520,Male,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(c)yes, once or twice",,"(c)yes, once or twice",,(b)no,,"(c)Wanted to, but did not have the opportunity",(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",
3521,Male,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,(a) yes,Yas,,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",
3522,Male,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(a)Did not need to,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",
3523,Male,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(c)yes, once or twice",,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,(b)Did not want to,"(a)yes, many times",
3524,Male,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",
3525,Female,"(a)yes, many times",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",
3526,Female,(d)no,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,(b)no,,(d)Was not allowed (by family / caregiver / teacher),"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",
3527,Male,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(c)yes, once or twice",,(b)no,,(d)Was not allowed (by family / caregiver / teacher),"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,(b)Did not want to,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",
3528,Female,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",
3529,Female,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
3530,Male,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,"(c)Wanted to, but did not have the opportunity",(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",
3531,Male,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(a)Did not need to,(b)no,,(a)Did not need to,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(c)yes, once or twice",,"(b)yes, sometimes",
3532,Male,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(c)yes, once or twice",
3533,Female,"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(a) yes,Stitching,,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(c)yes, once or twice",
3534,Male,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",
3535,Female,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(a)Did not need to,(b)no,,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",,"(b)yes, sometimes",
3536,Male,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(b)yes, sometimes",,(b)no,,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",
3537,Female,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(d)Was not allowed (by family / caregiver / teacher),"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",
3538,Female,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,(d) no,(a)Did not need to,"(c)yes, once or twice",,"(a)yes, many times",,(d) no,(a)Did not need to,(a) yes,Waste Material,,"(c)yes, once or twice",,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,(d)Was not allowed (by family / caregiver / teacher),"(b)yes, sometimes",,(d) no,(a)Did not need to,"(c)yes, once or twice",,(d) no,(b)Did not want to,(d) no,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",
